Date,Price,neg_oil,neu_oil,pos_oil,compound_oil,neg_war,neu_war,pos_war,compound_war
2023-04-03,84.93000030517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,84.94000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,84.98999786376953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,85.12000274658203,0.0,0.0,0.0,0.0,0.0,0.776,0.224,0.9866
2023-04-10,84.18000030517578,0.086,0.816,0.098,0.9796,0.144,0.708,0.147,-0.1356
2023-04-11,85.61000061035156,0.07,0.783,0.147,0.9998,0.144,0.708,0.147,-0.1356
2023-04-12,87.33000183105469,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-13,86.08999633789062,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-14,86.30999755859375,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-17,84.76000213623047,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-18,84.7699966430664,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-19,83.12000274658203,0.07,0.783,0.147,0.9998,0.0,0.811,0.189,0.9466
2023-04-20,81.0999984741211,0.07,0.783,0.147,0.9998,0.0,0.945,0.055,0.3947
2023-04-21,81.66000366210938,0.07,0.783,0.147,0.9998,0.0,0.945,0.055,0.3947
2023-04-24,82.7300033569336,0.07,0.783,0.147,0.9998,0.0,0.945,0.055,0.3947
2023-04-25,80.7699966430664,0.07,0.783,0.147,0.9998,0.0,0.945,0.055,0.3947
2023-04-26,77.69000244140625,0.026,0.863,0.111,0.9725,0.0,0.945,0.055,0.3947
2023-04-27,78.37000274658203,0.0,0.0,0.0,0.0,0.0,0.945,0.055,0.3947
2023-04-28,79.54000091552734,0.0,0.0,0.0,0.0,0.0,0.945,0.055,0.3947
2023-05-01,79.30999755859375,0.0,0.0,0.0,0.0,0.061,0.883,0.056,-0.4412
2023-05-02,75.31999969482422,0.0,0.0,0.0,0.0,0.061,0.883,0.056,-0.4412
2023-05-03,72.33000183105469,0.0,0.0,0.0,0.0,0.061,0.883,0.056,-0.4412
2023-05-04,72.5,0.0,0.0,0.0,0.0,0.061,0.883,0.056,-0.4412
2023-05-05,75.30000305175781,0.029,0.795,0.176,0.9509,0.061,0.883,0.056,-0.4412
2023-05-08,77.01000213623047,0.029,0.795,0.176,0.9509,0.061,0.883,0.056,-0.4412
2023-05-09,77.44000244140625,0.029,0.795,0.176,0.9509,0.0,0.781,0.219,0.84
2023-05-10,76.41000366210938,0.029,0.795,0.176,0.9509,0.0,0.781,0.219,0.84
2023-05-11,74.9800033569336,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-12,74.16999816894531,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-15,75.2300033569336,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-16,74.91000366210938,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-17,76.95999908447266,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-18,75.86000061035156,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-19,75.58000183105469,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-22,75.98999786376953,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-23,76.83999633789062,0.029,0.795,0.176,0.9509,0.013,0.819,0.168,0.9642
2023-05-24,78.36000061035156,0.041,0.878,0.081,0.9914,0.013,0.819,0.168,0.9642
2023-05-25,76.26000213623047,0.041,0.878,0.081,0.9914,0.013,0.819,0.168,0.9642
2023-05-26,76.94999694824219,0.041,0.878,0.081,0.9914,0.013,0.819,0.168,0.9642
2023-05-30,73.54000091552734,0.041,0.878,0.081,0.9914,0.013,0.819,0.168,0.9642
2023-05-31,72.66000366210938,0.041,0.878,0.081,0.9914,0.013,0.819,0.168,0.9642
2023-06-01,74.27999877929688,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-02,76.12999725341797,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-05,76.70999908447266,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-06,76.29000091552734,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-07,76.94999694824219,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-08,75.95999908447266,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-09,74.79000091552734,0.041,0.878,0.081,0.9914,0.094,0.788,0.118,0.6948
2023-06-12,71.83999633789062,0.03,0.852,0.118,0.9986,0.083,0.85,0.066,-0.6858
2023-06-13,74.29000091552734,0.03,0.852,0.118,0.9986,0.083,0.85,0.066,-0.6858
2023-06-14,73.19999694824219,0.03,0.852,0.118,0.9986,0.083,0.85,0.066,-0.6858
2023-06-15,75.66999816894531,0.03,0.852,0.118,0.9986,0.083,0.85,0.066,-0.6858
2023-06-16,76.61000061035156,0.0,0.0,0.0,0.0,0.083,0.85,0.066,-0.6858
2023-06-20,75.9000015258789,0.0,0.0,0.0,0.0,0.083,0.85,0.066,-0.6858
2023-06-21,77.12000274658203,0.0,0.0,0.0,0.0,0.083,0.85,0.066,-0.6858
2023-06-22,74.13999938964844,0.0,0.0,0.0,0.0,0.083,0.85,0.066,-0.6858
2023-06-23,73.8499984741211,0.0,0.0,0.0,0.0,0.083,0.85,0.066,-0.6858
2023-06-26,74.18000030517578,0.0,0.0,0.0,0.0,0.0,0.858,0.142,0.7303
2023-06-27,72.26000213623047,0.0,0.0,0.0,0.0,0.0,0.858,0.142,0.7303
2023-06-28,74.02999877929688,0.0,0.0,0.0,0.0,0.0,0.858,0.142,0.7303
2023-06-29,74.33999633789062,0.021,0.437,0.042,0.4895,0.0,0.858,0.142,0.7303
2023-06-30,74.9000015258789,0.021,0.437,0.042,0.4895,0.138,0.741,0.121,-0.2006
2023-07-03,74.6500015258789,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-05,76.6500015258789,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-06,76.5199966430664,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-07,78.47000122070312,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-10,77.69000244140625,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-11,79.4000015258789,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-12,80.11000061035156,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-13,81.36000061035156,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-14,79.87000274658203,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-17,78.5,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-18,79.62999725341797,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-19,79.45999908447266,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-20,79.63999938964844,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-21,81.06999969482422,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-24,82.73999786376953,0.032,0.878,0.09,0.9904,0.073,0.803,0.124,0.7391
2023-07-25,83.63999938964844,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-26,82.91999816894531,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-27,84.23999786376953,0.0,0.0,0.0,0.0,0.073,0.803,0.124,0.7391
2023-07-28,84.98999786376953,0.0,0.0,0.0,0.0,0.0445,0.8665,0.089,0.9556
2023-07-31,85.55999755859375,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-01,84.91000366210938,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-02,83.19999694824219,0.054,0.91,0.036,-0.3415,0.059,0.86,0.081,0.6018
2023-08-03,85.13999938964844,0.008,0.91,0.081,0.9755,0.059,0.86,0.081,0.6018
2023-08-04,86.23999786376953,0.008,0.91,0.081,0.9755,0.059,0.86,0.081,0.6018
2023-08-07,85.33999633789062,0.008,0.91,0.081,0.9755,0.059,0.86,0.081,0.6018
2023-08-08,86.16999816894531,0.008,0.91,0.081,0.9755,0.059,0.86,0.081,0.6018
2023-08-09,87.55000305175781,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-10,86.4000015258789,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-11,86.80999755859375,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-14,86.20999908447266,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-15,84.88999938964844,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-16,83.44999694824219,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-17,84.12000274658203,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-18,84.80000305175781,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-21,84.45999908447266,0.0,0.0,0.0,0.0,0.059,0.86,0.081,0.6018
2023-08-22,84.02999877929688,0.0,0.0,0.0,0.0,0.245,0.625,0.13,-0.34
2023-08-23,83.20999908447266,0.0,0.0,0.0,0.0,0.245,0.625,0.13,-0.34
2023-08-24,83.36000061035156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-25,84.4800033569336,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-28,84.41999816894531,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-29,85.48999786376953,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-30,85.86000061035156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-08-31,86.86000061035156,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-01,88.55000305175781,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-05,90.04000091552734,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-06,90.5999984741211,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-07,89.91999816894531,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-08,90.6500015258789,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-11,90.63999938964844,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-12,92.05999755859376,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-13,91.87999725341795,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-14,93.6999969482422,0.058,0.862,0.081,0.2709,0.0,1.0,0.0,0.0
2023-09-15,93.93000030517578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-18,94.43000030517578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-19,94.33999633789062,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-20,93.52999877929688,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-21,93.3000030517578,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2023-09-22,93.2699966430664,0.0,0.0,0.0,0.0,0.256,0.526,0.218,-0.128
2023-09-25,93.29000091552734,0.0,0.0,0.0,0.0,0.256,0.526,0.218,-0.128
2023-09-26,93.95999908447266,0.0,0.0,0.0,0.0,0.256,0.526,0.218,-0.128
2023-09-27,96.5500030517578,0.0,0.0,0.0,0.0,0.256,0.526,0.218,-0.128
2023-09-28,95.37999725341795,0.004,0.874,0.123,0.9957,0.256,0.526,0.218,-0.128
2023-09-29,95.30999755859376,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-02,90.70999908447266,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-03,90.91999816894533,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-04,85.80999755859375,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-05,84.06999969482422,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-06,84.58000183105469,0.004,0.874,0.123,0.9957,0.015,0.843,0.142,0.9393
2023-10-09,88.1500015258789,0.076,0.818,0.105,0.1872,0.015,0.843,0.142,0.9393
2023-10-10,87.6500015258789,0.076,0.818,0.105,0.1872,0.015,0.843,0.142,0.9393
2023-10-11,85.81999969482422,0.076,0.818,0.105,0.1872,0.189,0.77,0.041,-0.9999
2023-10-12,86.0,0.0,0.943,0.057,0.9711,0.189,0.77,0.041,-0.9999
2023-10-13,90.88999938964844,0.0,0.943,0.057,0.9711,0.189,0.77,0.041,-0.9999
2023-10-16,89.6500015258789,0.0,0.943,0.057,0.9711,0.189,0.77,0.041,-0.9999
2023-10-17,89.9000015258789,0.116,0.814,0.07,-0.9559,0.189,0.77,0.041,-0.9999
2023-10-18,91.5,0.0,0.0,0.0,0.0,0.0,0.777,0.223,0.9714
2023-10-19,92.37999725341795,0.0,0.0,0.0,0.0,0.173,0.691,0.136,-0.4588
2023-10-20,92.16000366210938,0.0,0.0,0.0,0.0,0.173,0.691,0.136,-0.4588
2023-10-23,89.83000183105469,0.0,0.0,0.0,0.0,0.0,0.565,0.435,0.9018
2023-10-24,88.06999969482422,0.0,0.0,0.0,0.0,0.16,0.732,0.108,-0.9689
2023-10-25,90.12999725341795,0.0,0.0,0.0,0.0,0.16,0.732,0.108,-0.9689
2023-10-26,87.93000030517578,0.0,0.0,0.0,0.0,0.16,0.732,0.108,-0.9689
2023-10-27,90.4800033569336,0.0,0.0,0.0,0.0,0.16,0.732,0.108,-0.9689
2023-10-30,87.44999694824219,0.0,0.0,0.0,0.0,0.205,0.657,0.138,-0.966
2023-10-31,87.41000366210938,0.0,0.0,0.0,0.0,0.0,0.651,0.349,0.9428
2023-11-01,84.62999725341797,0.0,0.95,0.05,0.8552,0.159,0.841,0.0,-0.8957
2023-11-02,86.8499984741211,0.0,0.95,0.05,0.8552,0.159,0.841,0.0,-0.8957
2023-11-03,84.88999938964844,0.079,0.819,0.102,0.9701,0.159,0.841,0.0,-0.8957
2023-11-06,85.18000030517578,0.079,0.819,0.102,0.9701,0.159,0.841,0.0,-0.8957
2023-11-07,81.61000061035156,0.032,0.861,0.106,0.9844,0.159,0.841,0.0,-0.8957
2023-11-08,79.54000091552734,0.003,0.922,0.075,0.9888,0.159,0.841,0.0,-0.8957
2023-11-09,80.01000213623047,0.003,0.922,0.075,0.9888,0.159,0.841,0.0,-0.8957
2023-11-10,81.43000030517578,0.0,0.96,0.04,0.2406,0.159,0.841,0.0,-0.8957
2023-11-13,82.5199966430664,0.086,0.874,0.04,-0.8816,0.159,0.841,0.0,-0.8957
2023-11-14,82.47000122070312,0.0,0.831,0.169,0.7269,0.159,0.841,0.0,-0.8957
2023-11-15,81.18000030517578,0.0,0.831,0.169,0.7269,0.159,0.841,0.0,-0.8957
2023-11-16,77.41999816894531,0.0,0.831,0.169,0.7269,0.159,0.841,0.0,-0.8957
2023-11-17,80.61000061035156,0.0,0.831,0.169,0.7269,0.159,0.841,0.0,-0.8957
2023-11-20,82.31999969482422,0.014,0.805,0.181,0.9999,0.159,0.841,0.0,-0.8957
2023-11-21,82.44999694824219,0.0153333333333333,0.2916666666666667,0.0266666666666666,0.3086333333333333,0.139,0.673,0.188,0.0258
2023-11-22,81.95999908447266,0.052,0.948,0.0,-0.05135,0.139,0.673,0.188,0.0258
2023-11-23,81.37000274658203,0.0,0.951,0.049,0.25,0.139,0.673,0.188,0.0258
2023-11-24,80.58000183105469,0.026,0.8835,0.0905,0.33215,0.139,0.673,0.188,0.0258
2023-11-27,79.9800033569336,0.0155,0.8935,0.091,0.6289,0.139,0.673,0.188,0.0258
